deal_title,investor_company,investor_role,investment_amount_usd
Quilt Health — Seed Round (2025-01),"BoxGroup, MaC Venture Capital, Opal Ventures, Underscore VC, Watershed Collective",PARTICIPANT,
Recursive Health — Seed Round (2025-01),"CancerX (USA), Harvard Innovation Launch Lab, MIT Sandbox",PARTICIPANT,
Upward Health — Debt - General (2025-01),"Acumen America, Acumen Fund, Blue Venture Fund, Heritage Group (US), Noro-Moseley Partners, Sandbox Industries, Windham Capital Partners",PARTICIPANT,
rhealth — Grant (2025-01),"DNA Medicine Institute, National Aeronautics and Space Administration, National Heart, Lung, and Blood Institute, National Institutes of Health, Small Business Innovation Research and Small Business Technology Transfer Programs",PARTICIPANT,
AiTA — Later Stage VC (2025-01),"BlackPoint Capital Markets, Hammerstone Capital, SkyView Investment Advisors",PARTICIPANT,
FogPharma — Later Stage VC (2025-01),"6 Dimensions Capital, Alex Gorsky, ARCH Venture Partners, Blue Pool Capital, Boyu Capital, Casdin Capital, Catalio Capital Management, Cormorant Asset Management, Deerfield Management, Farallon Capital Management, Fidelity Management & Research Company, Foresite Capital, General Catalyst, GV, HBM Healthcare Investments, HBM Partners, Horizons Ventures, Leerink Partners, Marshall Wace, Milky Way Investments Group, Nextech Invest, PagsGroup, Pivotal bioVenture Partners, RA Capital Management, Rock Springs Capital, Samsara BioCapital, Sixty Degree Capital, SymBiosis Capital Management, T. Rowe Price Group, The Invus Group, venBio, WuXi AppTec",PARTICIPANT,
Strategic Radiology — Seed Round (2025-01),Coverys Community Healthcare Foundation,PARTICIPANT,
Valera Health — Later Stage VC (2025-01),"Alsora Capital, Aquiline (New York), Atlantic Vantage Point, Cigna Ventures, Divergent Investments, Figure Eight Investments, Gaingels, Gershon Capital, GreyMatter (US), GreyMatter Capital, Heritage Group (US), Horizon Blue Cross Blue Shield of New Jersey, MedStartr Venture Fund, MultiCare Health System, StartUp Health, Texas Medical Center, Thomas Insel, UCSF Rosenman Institute, Watershed Collective, Windham Capital Partners",PARTICIPANT,
CharterCARE Health Partners — Merger/Acquisition (2025-01),Prospect Medical Holdings,PARTICIPANT,
Predictably Human — Seed Round (2025-01),"Cava Capital, Connecticut Innovations, Scale Good Fund",PARTICIPANT,
Torch Dental — Later Stage VC (2025-01),"Acceleration International, Alumni Ventures, AMEX Ventures, BakerBridge Capital, Bessemer Venture Partners, Burst Capital, Cadron Capital Partners, Chestnut Street Ventures, Felicis, FJ Labs, Health Velocity Capital, Mana Ventures, Parameter Ventures, Raga Partners (New York), Tectonic Ventures, Town Hall Ventures",PARTICIPANT,
Beaconcure — Later Stage VC (2025-01),"Deloitte Launchpad, Green Innovations, Innovation Authority, Keihanna Global Acceleration Program, NewVale Capital, Random Forest",PARTICIPANT,
Everlong — Debt - General (2025-01),"Community Development Venture Capital Alliance, Techstars, Unlock Capital (New York)",PARTICIPANT,
Marigold Health — Later Stage VC (2025-01),"Abell Foundation, Bantam Group, Commonwealth Care Alliance, Dorm Room Fund, Epsilon Health, Felicis, Flare Capital Partners, gBETA, GC Venture Fellows, General Catalyst, Innospark Ventures, Johns Hopkins Technology Ventures, K50 Ventures, KdT Ventures, Koa Labs, MassChallenge, National Institutes of Health, Rock Health Capital, SpringTide Ventures (US), Stand Together Ventures Lab, Tamarisc Ventures, Tau Ventures, Techstars, TEDCO, Texas Medical Center, Tournon Ventures, U. S. National Science Foundation, VABeachBio, VNS Health, VXI Capital Management, Wavemaker Three-Sixty Health",PARTICIPANT,
SoShe — Secondary Transaction - Private (2025-01),"MassChallenge, Precursor Ventures, Spelunker Channel Holdings, Springboard Enterprises",PARTICIPANT,
Budgie Health — Seed Round (2025-01),"Correlation Ventures, Counterpart Ventures, Flare Capital Partners, Greycroft, Pear (California), United Healthcare Accelerator",PARTICIPANT,
Caretech Human — Seed Round (2025-01),"Allan Mink, Biomedical Zone, Connect Poland Prize Accelerator, CRDF Global, David Esrig, eō Business Incubators, European Institute of Innovation and Technology, Google for Startups, InfoShare Foundation, InnoEnergy, IT Arena, John Bartlett, John Freeman, Kevin M. McGovern Family Center for Venture Development in the Life Sciences, Launch NY, Mauri Rosenthal, Rafael Barroso, Seeds of Bravery, Startup Bridge, The Roddenberry Foundation, Ukrainian Startup Fund, Vacuum Deep Tech Acceleration",PARTICIPANT,
ClinNEXUS — Later Stage VC (2025-01),"Expert DOJO, Suncoast Ventures",PARTICIPANT,
Heranova Lifesciences — Early Stage VC (2025-01),"Emerging Technology Partners (Venture Capital), MindWorks Ventures, Pivotal BioVenture Partners (China), Sinovation Ventures, Triwise Capital",PARTICIPANT,
Independent At Home — Buyout/LBO (2025-01),New Majority Capital Management,PARTICIPANT,
Kinetic (New York) — Later Stage VC (2025-01),"Aaron Bertinetti, Aaron Bromberg, Aaron Sperling, Alexander Pavlov, Aron Steg, Avik Barat, Bradly Feld, Brian Ellerman, Cameron Drummond, Chris Sang, City Light Capital, Crescent Fund, Crosslink Capital, David Deas Stevenson, Drew Fink, Flight Ventures, Frederic Hanika, Geoff Ward, Insure.VC, Jacob Levy, Jake Chapman, Jason Monberg, Jenny Fielding, John Kim, Jonathan Hakakian, Joshua Meltzer, Julian Zegelman, Kevin Killer, Lawrence Hsieh, Leighton Smith, Maiden Lane, ManchesterStory, Michael Dutka, Mihir Bhanot, Mircea Mihaescu, Nationwide Ventures, Palm Ventures, Paul Gould, Peter Kellner, Pilot Mountain Ventures, Plug and Play Tech Center, Primary Venture Partners, Primary x, Primer Sazze Partners, Prologis Ventures, R/GA Ventures, Robert Stevens, Saad AlSogair, Sam Melamed, Shad McKnight, Shaw Zhang, Shawn Merani, Shruti P., SIP Global Partners, SoundBoard Venture Fund, Steve Xie, Steven Kallmeyer, Sumit Gupta, Szabolcs Gáborjáni-Szabó, Techstars, Timothy Flannery, Trinity Capital (Phoenix), Tripp Shriner, U. S. National Science Foundation, Ubiquity Ventures, Victor Liu, Vishaal Melwani, Wang Zhang, ZIP Launchpad",PARTICIPANT,
LIND AI — Seed Round (2025-01),"Abstract Ventures, CancerX (USA)",PARTICIPANT,
PsyFlo — Grant (2025-01),"Black Girl Ventures, Build In Tulsa, Cornell University, New York University",PARTICIPANT,
RiskAverse — Later Stage VC (2025-01),"Biomedical Zone, Diversity Innovation Hub, Gary Sheehan, Headwater Ventures, Matter (Consulting Services (B2B)), NZVC, SSC Venture Partners, Water Bear Ventures",PARTICIPANT,
TapestryHealth — Debt - General (2025-01),"Catalio Capital Management, Sopris Venture Capital",PARTICIPANT,
Volta Health — Early Stage VC (2025-01),"NUImpact Fund, Tampa Bay Wave",PARTICIPANT,
Anise Health — Early Stage VC (2024-12),"Allston Venture Fund, Authentic Heart, Celtic House Asia Partners, Change Paradox Ventures, Delight Ventures, Enlighten Capital, Gold House Ventures, Harvard Innovation Launch Lab, How Women Invest, Ignite Healthcare Network, Kicker Ventures, Lotus Venture Partners, MassChallenge, NextBlue, OurCrowd, Phoenix Investment Club (San Francisco), Progression Fund, The Arthur Rock Center for Entrepreneurship, UCSF Rosenman Institute",PARTICIPANT,
Owkin — Later Stage VC (2024-12),"Bpifrance, Brent Hoberman, Bristol-Myers Squibb, Cathay Capital Private Equity, Cathay Innovation, Eight Roads, F-Prime Capital, Frst Capital, Gold Track, Google for Startups, Groupe MACSF, GV, Jean-Paul Clozel, Joël Besse, Jorg Mohaupt, Key Ventures, NJF Capital, Otium Capital, Plug and Play Tech Center, Sanofi, Third Kind Venture Capital",PARTICIPANT,
The Smilist Management — Debt - Acquisition (2024-12),"Pelham S2K, Zenyth Partners",PARTICIPANT,
RubyWell — Seed Round (2024-12),"Black Tech Nation Ventures, Everywhere Ventures, Loeb.nyc, Primetime Partners, Springboard Enterprises, Swizzle Ventures, True Wealth Ventures, Wavemaker Three-Sixty Health",PARTICIPANT,
Groth Pain & Spine — PE Growth/Expansion (2024-12),"Confluence Healthcare Partners, Skyline Investors",PARTICIPANT,
MDaudit — PE Growth/Expansion (2024-12),"Bregal Sagemount, Primus Capital",PARTICIPANT,
Wally (Healthcare Services) — Early Stage VC (2024-12),"Bling Capital, Duro Ventures, Edward Lando, Empty Set Group, Eudemian Ventures, Forum Ventures, Fundamental Ventures, Gaingels, GFR Artists, GFR Fund, Jack Abraham, Jon Oringer, LoftyInc Capital Management, Myelin VC, Omar Kadrie, Pareto Holdings, Purpose Built Ventures, Right Side Capital Management, Root and Shoot Ventures, Service Provider Capital, Underdog Labs, Unfold.vc, William Sternlicht",PARTICIPANT,
QMedic — Debt - General (2024-12),"Brandon Zeman, Joey Krug, Joshua Gastyne, Larry Berman, Mark Tan, MassChallenge, National Cancer Institute, Saad AlSogair, Tamara Jefferson, TiE-Boston, Wefunder",PARTICIPANT,
Vitalic (Senior specialized Behavioral Healthcare) — Seed Round (2024-12),"Redesign Health, VNS Health",PARTICIPANT,
Ablative Solutions — Later Stage VC (2024-12),"BioStar Capital, Charter Private Capital Management, CKM Capital, Dempsey Ventures, Gilde Healthcare, GlobalLink1 Capital, Grand Angels, Invus Opportunities, Jason Balk, Michigan Capital Network, Open Prairie Ventures, RueOne Investments",PARTICIPANT,
Aptihealth — Later Stage VC (2024-12),"Claritas Capital, Kasa Investments, OTV, Pivotal Life Sciences, Takeda Digital Ventures, Timber IV, Vista Credit Partners, Warren Point Capital, What If Ventures",PARTICIPANT,
Alira Health — Debt - General (2024-12),"Creadev, Norwood Point Ventures",PARTICIPANT,
Neuvotion — Later Stage VC (2024-12),"Accelerator for Biosciences in Connecticut, Forward Industries, Long Island Angel Network, New York Angels, Northwell Holdings, Shepherd Good Rehabilitation Network",PARTICIPANT,
Phy — Early Stage VC (2024-12),Raga Partners (New York),PARTICIPANT,
Labviva — Later Stage VC (2024-12),"53 Stations, Ascent Capital, B Capital Group, Biospring Partners, Glasswing Ventures, MassVentures, NuFund Venture Group, SeedFolio, Senator Investment Group, Village Global Management",PARTICIPANT,
Empathetics — Later Stage VC (2024-12),"Arc Capital Development, LearnLaunch Fund + Accelerator",PARTICIPANT,
Calcium+Company — Debt - General (2024-12),NexPhase Capital,PARTICIPANT,
Yuvo Health — Early Stage VC (2024-12),"AlleyCorp, AV8 Ventures, Brooklyn Bridge Ventures, GreyMatter (US), HLM Investment Partners, K50 Ventures, Laconia Capital Group, Life Extension Ventures, Melynda Barnes, Mosaic General Partnership, New York Ventures, Realm Capital Ventures, Rethink Ireland, Route 66 Ventures, VamosVentures, Watershed Collective",PARTICIPANT,
Oligomerix — Later Stage VC (2024-12),"Alzheimers Drug Discovery Foundation, Counterview Capital, Durand Venture Associates, National Institute On Aging, Wheatley Partners",PARTICIPANT,
Sollis Health — Later Stage VC (2024-12),"412 Angels Network, Adam Henick, Aniq Rahman, Arkitekt Ventures, Atento Capital, B. Riley Financial, B. Riley Venture Capital, Blue 9 Capital, Blue Falcon Capital, Bridge Capital Holding, Crosscourt Ventures, Denali Growth Partners (Boston), Foresite Capital, Fortitude Capital(London), Friedom Partners, Gaingels, Jay Livingston, Juan Vallarino, Knockout Capital, Montage Ventures, One Eight Capital, Read Capital, Strand Equity, The K Funds, Torch Capital",PARTICIPANT,
BostonGene — Later Stage VC (2024-12),"Impact Investment Capital, Japan Industrial Partners, NEC (Japan)",PARTICIPANT,
Counslr — Early Stage VC (2024-12),MJR Ventures,PARTICIPANT,
Weill Cornell Imaging — Joint Venture (2024-12),"Cornell University, New York-Presbyterian Hospital, Weill Cornell Medicine",PARTICIPANT,
AccurKardia — Seed Round (2024-12),"Mayo Clinic Platform, MedTech Innovator, Popular",PARTICIPANT,
Checkedup — Buyout/LBO (2024-12),Retinal Degeneration Fund,PARTICIPANT,
Schweiger Dermatology Group — Debt - Acquisition (2024-12),"Barings, Benefit Street Partners, LLR Partners, LNK Partners, RVM Enterprises Investment Group, SV Health Investors, Triangle Capital, Zenyth Partners",PARTICIPANT,
Somnum Pharma — Seed Round (2024-11),PhiFund Ventures,PARTICIPANT,
Roon — Early Stage VC (2024-11),"Common Metal, FirstMark Capital, Forerunner Ventures, M13, Maveron, New York Venture Partners, Sequoia Capital, SV Angel, TMV(Trail Mix Ventures)",PARTICIPANT,
TailorMed — Later Stage VC (2024-11),"8200 EISP, Allumia Ventures, Almeda Ventures, Ballad Ventures, Bank Hapoalim, Bridges Israel, BrightEdge, Citi Impact Fund, Citigroup Alternative Investments, Discount Capital, Inception Health, OSF Ventures, Philips, Samsung NEXT Ventures, Sanara Capital (Israel), TLV Seed, Triventures, University Hospitals Ventures, Windham Capital Partners",PARTICIPANT,
Tono — Early Stage VC (2024-11),Oncology Ventures,PARTICIPANT,
Barton & Associates — Debt - General (2024-11),H.I.G. Capital,PARTICIPANT,
GPX — Early Stage VC (2024-11),"D4V, Dreamit Ventures, Hiroaki Kitano, IDEO, Masao Hitotsuyanagi, Massachusetts Medical Device Development Center, NEC X, Peter Moran, PharmStars, Plug and Play Tech Center, Sony, Startup Creasphere",PARTICIPANT,
Sage (Healthcare Technology Systems) — Early Stage VC (2024-11),"ANIMO Ventures, Distributed Ventures, Friends & Family Capital, Goldcrest Capital, IVP, Maveron, Merus Capital, NFP Ventures, Plus Capital, Watershed Collective",PARTICIPANT,
Smart Health Network — Early Stage VC (2024-11),Impact Assets,PARTICIPANT,
Family First — Later Stage VC (2024-11),"Eos Venture Partners, Kli Capital, RPM Ventures, Stephen Fromm, Techstars, Two Bridge Capital, Western Technology Investment, Wormhole Capital",PARTICIPANT,
Beth Israel Lahey Health — Grant (2024-11),ARPA-H,PARTICIPANT,
Nema Health — Early Stage VC (2024-11),".406 Ventures, CVS Health Ventures, Deerfield Management, GreyMatter (US), GreyMatter Capital, Optum Ventures",PARTICIPANT,
Anna Health — Seed Round (2024-10),"GreyMatter (US), Virtue (Austin), Watershed Collective",PARTICIPANT,
EvolveImmune Therapeutics — Later Stage VC (2024-10),"AbbVie, Bristol-Myers Squibb, Elm Street Ventures, Pfizer Ventures, Solasta Ventures, Takeda Ventures, University of Connecticut Technology Incubation Program, Yonjin Venture",PARTICIPANT,
Grin — Later Stage VC (2024-10),"American Association of Orthodontists, CareQuest Innovation Partners, Digital Health Hub Foundation, Gandyr Investments, Matter (Consulting Services (B2B)), Mundi Ventures, New York Angels, Procter & Gamble, SpringRock Ventures, Triventures",PARTICIPANT,
Firefly Health — Later Stage VC (2024-10),"10X Capital, Amdocs Ventures, Andreessen Horowitz, Bossa Invest, Broadshade Investments, Cambridge Way Ventures, Eight Roads, Endeavor Catalyst, Floating Point, F-Prime Capital, Gaingels, Jesse Robbins, Justin Mateen, MaC Venture Capital, Mana Ventures, NFX, Oak HC/FT, Olympus Trading Company, Premji Invest (US), Riverside Ventures, Star Tech NG, STV, What If Ventures",PARTICIPANT,
Heva (Practice Management (Healthcare)) — Early Stage VC (2024-10),"Benchstrength (New York), Benchstrength Management, Collide Capital, Flybridge (New York), Meridian Ventures, Techstars",PARTICIPANT,
Abstractive Health — Early Stage VC (2024-10),"BR Venture Fund, Company Ventures, Cornell University, Gorges Ventures, HealthTech Investors, Healwell AI, Leap of Faith Technologies, New York Ventures, Pear (California), Rho Capital Partners, Runway Startup Postdoc, U. S. National Science Foundation",PARTICIPANT,
OneStep — Later Stage VC (2024-10),"10D, Aleph (Israel), Google for Startups, LionBird, LIP Ventures Boutique, NewHealth Ventures, Samsung NEXT Ventures, Team8, Vintage (Private Equity)",PARTICIPANT,
Pip Care — Early Stage VC (2024-10),"412 Venture Fund, A1 Health Ventures, Abundant Venture Partners, National Institutes of Health, Redesign Health, UPMC Enterprises",PARTICIPANT,
Ash — Later Stage VC (2024-10),"500 Global, AltaIR Capital, Ayana Capital, Brightlane Ventures, Datapower Ventures, Diverse Angels (Los Angeles), Dorm Room Fund, Empire City Laboratories, Fc Centripetal, Gaingels, GEHA Ventures, Government Employees Health Association, K3 Diversity Ventures, LoftyInc Capital Management, LongShot Capital, Merus Capital, MSD Global Health Innovation Fund, Plug and Play Tech Center, Rajit Malhotra, Remedy Product Studio, Runway Startup Postdoc, WBL Fellows Program, XRC Ventures, Xtripe Angels",PARTICIPANT,
Oshi Health — Later Stage VC (2024-10),"American College of Gastroenterology, Bessemer Venture Partners, CVS Health Ventures, Eric Stone, Flare Capital Partners, Frist Cressey Ventures, Jonathan Bush, Koch Disruptive Technologies, Nat Turner, Oak HC/FT, Operator Partners, Russell Glass, Scrub Capital, Takeda Digital Ventures, UCSF Rosenman Institute, Varia Ventures, Zachary Weinberg",PARTICIPANT,
PranaQ — Early Stage VC (2024-10),"Delight Room, DSC Investment, Duke University Endowment, Lighthouse Combined Investment, Matter (Consulting Services (B2B)), Naver D2 Startup Factory, Smilegate Investment",PARTICIPANT,
Helogen — Seed Round (2024-10),"AUM Ventures, Aurelia Foundry, Desjardins Capital, Humans In Space, Mana Ventures, One Way Ventures",PARTICIPANT,
Canid — Early Stage VC (2024-10),"Alumni Ventures, Brooklyn Bridge Ventures, David Lerner, FJ Labs, I2BF Global Ventures, Jon Oringer, MKT1, Nadav Chanoch, ODF, OnDeck, Pareto Holdings, Rashad Haque, SeedToB Capital, Telescope Partners",PARTICIPANT,
Eleanor Health — Later Stage VC (2024-10),"BlueCross and BlueShield Association, Echo Health Ventures, Emerson Collective, General Catalyst, Mosaic Health Solutions, Northpond Ventures, Oxeon Partners, Rethink Impact, Town Hall Ventures, Warburg Pincus",PARTICIPANT,
Aavia — Later Stage VC (2024-10),"Asset Management Ventures, Awesome People Ventures, Bantam Group, Cleo Capital, Dorm Room Fund, dsm-firmenich Ventures, January Ventures, Jennifer Neundorfer, Joe Caruso, MassChallenge, MedTech Accelerator, Meridian Street Capital, MIT $100K Entrepreneurship Competition, MIT Delta V, Popstar Ventures, Pres10 Ventures, Rajiv Kapoor, Seven Seven Six, Starting Line, Unshackled Ventures",PARTICIPANT,
Bayesian Health — Later Stage VC (2024-10),"American Medical Association, Andreessen Horowitz, Catalio Capital Management, Doug Given, Emerald Development Managers, Health2047 Capital Partners, Johns Hopkins Technology Ventures, Johns Hopkins University, Julie Yoo, Lifeforce Capital, MemorialCare Innovation Fund, U. S. National Science Foundation",PARTICIPANT,
Healthbridge (Great Neck) — PE Growth/Expansion (2024-10),Pacific Lake,PARTICIPANT,
N1 Health — Later Stage VC (2024-10),"HealthTrend Capital, MANA Tech, NRV, Village Capital, Waterline Ventures",PARTICIPANT,
INIA Biosciences — Early Stage VC (2024-09),"Ankh Impact Ventures, ASU Innovation Open, Creative Destruction Lab, MassChallenge, MassMEDIC, MedTech Innovator, MIT Sandbox, Nucleate, Rice University, U. S. National Science Foundation",PARTICIPANT,
Coral Care — Seed Round (2024-09),"AlleyCorp, Charge Ventures, GreyMatter (US), Hustle Fund, Mother Ventures, Purpose Built Ventures, Reach Capital, Tournon Ventures",PARTICIPANT,
Journey Clinical — Early Stage VC (2024-09),"Able Partners, AlleyCorp, Audrey Capital, Beckley Waves, Calm Ventures, Christina Sass, Coalition Operators, Colibri Equity Ventures, Colibri Ventures, Edvard Engesaeth, Evidenced Capital, Fifty Years, FJ Labs, Gaingels, Hans Gangeskar, Lionheart Ventures, Mantis VC, Mystic Ventures, Neo Kuma Ventures, Palo Santo, Pistole Labs, PROOF, PsyMed Ventures, Satori Capital, Union Square Ventures, Vanterra Ventures",PARTICIPANT,
On Belay Health Solutions — Early Stage VC (2024-09),".406 Ventures, Longitude Capital, Maverick Ventures",PARTICIPANT,
Nirvana Health — Early Stage VC (2024-09),"Altos Ventures, Alumni Ventures, Arc Ventures (United States), Basecamp Fund, Celtic House Asia Partners, Cold Start, Eniac Ventures, Everywhere Ventures, Gil Shklarski, Han River Development, Inspired Capital (New York), Irregular Expressions, K50 Ventures, NextView Ventures, Northzone Ventures, Supernode Ventures, Surface Ventures, Two Culture Capital",PARTICIPANT,
Healthie — Later Stage VC (2024-09),"Alex Iskold, Birchmere Ventures, Builders VC, Danish Munir, Dave Matheson, Dennis Prince, Dolik Ventures, Dorm Room Fund, Free Solo Ventures, Freesolo Capital, Green Egg Ventures, Gregory Schroy, GreyMatter (US), GreyMatter Capital, KJ Singh, Labor Capital, Longley Capital, Mason Plumlee, Natural Bridge Ventures, Nitesh Banta, PennApps Accelerator, Pistole Labs, Precursor Ventures, Rafid Fadul, Right Side Capital Management, Riverside Ventures, Roushan Zenooz, TCV, Techstars, The M&T Innovation Fund, Tyler Bosmeny, Velvet Sea Ventures, Victor Karkar, Watershed, Watershed Asset Management, Watershed Collective",PARTICIPANT,
MyndYou — Later Stage VC (2024-09),"AI Life Sciences Investments, Amos Korcyn, Amplifyher Ventures, BIRD Foundation, Daybreak Investments, Daybreak Partners, Deborah Estrin, Female Founders Fund, First Round Capital, HighGrade Ventures, Howard Lee Morgan, ICONYC Labs, Ilan Naor, M5Invest Partners, Matter (Consulting Services (B2B)), Mizuho Capital, Musketeer Capital, WindRose Health Investors",PARTICIPANT,
SpectraWAVE — Later Stage VC (2024-09),"Deerfield Management, Johnson and Johnson JJDC, Lumira Ventures, Minogue Consulting, Nova Ventures Group, S3 Ventures, SV Health Investors",PARTICIPANT,
Vesta Healthcare — Later Stage VC (2024-09),"CareCentrix, Chrysalis Ventures, Deerfield Management, Epsilon Health, epstein partners, Equitage Ventures, Generator Ventures, K2 HealthVentures, Kaiser Permanente Ventures, Lux Capital, Nationwide Ventures, Oak HC/FT, Optum Ventures, Pinta Capital Partners, RA Capital Management",PARTICIPANT,
Conceive — Seed Round (2024-08),"Equable Capital, Everywhere Ventures, Founder Collective, Freya Ventures, Great Oaks Venture Capital, Kindred Ventures, Myelin VC, Overwater Ventures",PARTICIPANT,
myBiometry — Seed Round (2024-08),"anon consultant, Bantam Group, Beacon Venture Partners, Boston Harbor Angels, CareSource (Managed Care), Cherrystone Angel Group, Dexcom Ventures, Elevate Ventures, Launchpad Venture Group, Massachusetts eHealth Institute, MassChallenge, Matter (Consulting Services (B2B)), MedTech Innovator, SideCar Angels, Start Something Ventures",PARTICIPANT,
OpenBCI — Later Stage VC (2024-08),"BITKRAFT Ventures, Hybridge Capital Management, Inertia Ventures, Marc Merrill, NaHCO3, Newlab, re.Mind Capital",PARTICIPANT,
Forge Health — Later Stage VC (2024-08),"HC9 Ventures, MFO Ventures, Montage Ventures, Rsquared",PARTICIPANT,
Mindful Care — Mezzanine (2024-08),"Boston Millennia Partners, Caruso (California), Caruso Ventures, GingerBread Capital, Polsky Center for Entrepreneurship and Innovation at the University of Chicago, Sopris Venture Capital, University of Chicago, Venkon",PARTICIPANT,
Harmonia Healthcare — Seed Round (2024-08),Tech4Eva,PARTICIPANT,
Health Outlook — Early Stage VC (2024-08),"Avego Management, Connecticut Innovations, Emerald Bioventures, Petrichor Healthcare Capital Management",PARTICIPANT,
Redesign Health — Later Stage VC (2024-08),"blisce/, Centre Street Partners, CVS Health Ventures, Declaration Partners, Eden Global Partners, Euclidean Capital, Foresite Capital, Gaingels, Gateway X (Saint Louis), General Advance, General Catalyst, Greycroft, Reshape Ventures, RiverPark Ventures, Samsung NEXT Ventures, TriplePoint Capital, UPMC Enterprises, Wasson Enterprise, Watershed Collective, Westway Capital",PARTICIPANT,
Maven — Later Stage VC (2024-08),"14W, 8VC, Able Partners, Aletta Angels, AlleyCorp, Anne Wojcicki, Anthro Ventures, Astarte Ventures, BOND Capital (San Francisco), Bond Growth+Equity, BoxGroup, Brent Hoberman, ByTheTower, Chrysanthos Chrysanthou, City Light Capital, Colle Capital Partners, Company Ventures, CSC UpShot Ventures, CVS Health Ventures, David Chan, DGNL Ventures, Dragoneer Investment Group, Female Founders Fund, Fine Day Ventures, Fintech Next, Fuel Ventures, Gaingels, General Catalyst, GingerBread Capital, Great Oaks Venture Capital, Harmony Partners, Healthcare Innovation Pitch, Icon Ventures, Intermountain Ventures, Jeremy Yap, KF20 Capital, La Famiglia, Loric Ventures, Lux Capital, Martin Mignot, Matthew Mullenweg, Mindy Kaling, MontBlu Capital, Mustard Seed + Partners, Natalie Portman, NextGen Venture Partners, Oak HC/FT, Portfolia, Quadia, Reese Witherspoon, Reverb Capital, Robert Dighero, Ruca, Samsung NEXT Ventures, Sequoia Capital, SGH Capital, Spring Mountain Capital, StepStone Group, Susan Lyne, Thomas Lehrman, Tilli Kalisky-Bannett, Venrex Investment Management, Watershed Collective",PARTICIPANT,
Vital Audio — Seed Round (2024-08),"Flybridge (New York), Future Labs, National Science Foundation Innovation Corps Program, NYU Entrepreneurial Institute, Techstars, The Pitch Fund & Syndicate, U. S. National Science Foundation",PARTICIPANT,
Jumo Health — Buyout/LBO (2024-08),Falfurrias Management Partners,PARTICIPANT,
Ognomy Sleep — Seed Round (2024-08),"Future Communities Capital, GrowthX Capital, Impellent Ventures, Inspire Medical Systems, Launch NY, Western New York Venture Association",PARTICIPANT,
Photon (New York) — Seed Round (2024-08),"Atria Ventures, BoxGroup, Cendana Capital, Everywhere Ventures, Flare Capital Partners, Floating Point, GoGlobal Ventures, Headwater Capital (Ketchum), Headwater Ventures, Long Journey Ventures, Notation Capital, Ritual Capital, Scrub Capital, Susa Ventures, Tournon Ventures",PARTICIPANT,
Sanguine Biosciences — Later Stage VC (2024-08),"Albany Capital (Australia), BroadOak Capital Partners, Catalio Capital Management, Cody Cagnina, FundersClub, Global Initiative, iVentures Asia, Jeff Daytone, Jenner, Justin Darcy, Mayo Clinic, Miftah Khan, Neman Ventures, Paul Holliman, Seraph Group, Seth Ginns, StartUp Health, Surender Punia, U. S. National Science Foundation, Vitamin Capital, Zhenya Mirkin, Zhenya Mirkin",PARTICIPANT,
MD Ally — Later Stage VC (2024-08),"Alumni Ventures, Chestnut Street Ventures, Frist Cressey Ventures, General Catalyst, HearstLab, MassChallenge, Red & Blue Ventures, Seae Ventures, Startup Challenge, Summer Venture Award, Techstars, UCSF Rosenman Institute, Venture Initiation Program, Walnut Ventures",PARTICIPANT,
MedSchoolCoach — Later Stage VC (2024-08),Stonehenge Capital,PARTICIPANT,
Predictive Healthcare — Seed Round (2024-08),Plug and Play Tech Center,PARTICIPANT,
EHE Health — Buyout/LBO (2024-08),"Bain Capital Credit, Consello",PARTICIPANT,
Vedanta Biosciences — Later Stage VC (2024-08),"AMR Action Fund, Atika Capital Management, Atlantic Neptune, AXA Investment Managers, Biomedical Advanced Research and Development Authority, Bristol-Myers Squibb, CARB-X, Crohn's & Colitis Foundation, Fiscus Ventures, Fontus Capital, Fosun Health Capital, Gates Foundation, Hambro Perks Acquisition, Johnson & Johnson Innovation - JLABS, JSR, K2 HealthVentures, Korea Investment Holdings, Korea Investment Partners, Magnetar Capital, Partners Investment, PEAK6 Strategic Capital, Pfizer (Pharmaceuticals), Public Health Emergency, PureTech Health, QUAD Investment Management, Reimagined Ventures, Revelation Partners, Rock Springs Capital, Salica Investments, Seventure Partners, Shinhan Capital, Shinhan Securities, Shumway Capital, Skyviews Life Science, SV Investment, SymBiosis Capital Management, The International Woodland Company, Verition Fund Management",PARTICIPANT,
NourishedRx — Later Stage VC (2024-08),"Connecticut Innovations, HDS Capital, Primetime Partners, Route 66 Ventures, S2G Investments, Thomas Scully, University of Connecticut Technology Incubation Program",PARTICIPANT,
BetterMynd — Seed Round (2024-08),"43North, Bread & Butter Ventures, Eric Reichanadter, Figure Eight Investments, Founder Institute, Launch NY, Michael Weisman, New York Ventures, NextCorps, The Center for Advancing Innovation, TIA Summer Accelerator",PARTICIPANT,
Remedy Logic — Early Stage VC (2024-08),"Antler, Bantam Group, Epsilon Health, Lerer Hippeau, Max Ventures, WorldQuant Ventures",PARTICIPANT,
Willow Health — Early Stage VC (2024-08),"Coalition Operators, GreyMatter (US), Seae Ventures",PARTICIPANT,
General Fluidics — Later Stage VC (2024-07),"Kendall Capital Partners, U.S. Department of Health and Human Services",PARTICIPANT,
